phase,windows,decisions,status,access_rx_packets,core_tx_packets,app_qer_meter_red_packets,mean_offered_mbps,mean_delivered_mbps,mean_policing_ratio,pdr_fail,far_fail,bad_route,n3_rx_drops,n6_tx_drops,action_count,fallback_count,tool_failure_count,mean_decision_latency_ms,mean_total_tokens,notes
A,6,6,OK,22857067,22857066,0,627.8074242666667,518.093496,0.0,0,0,0,0,0,0,0,0,2441.531260808309,909,clean
B,6,6,OK,34285621,23610855,9475784,941.7117074666667,535.17938,0.2763777933722651,0,0,0,0,0,1,0,0,3217.841863632202,1069.3333333333333,clean
C,6,6,OK,39999919,25531434,11293013,1098.6644258666668,578.712504,0.28232590376810274,0,0,0,0,0,1,0,0,2813.2505416870117,1031.6666666666667,clean
D,6,6,OK,22857067,22857066,0,627.8074242666667,518.093496,0.0,0,0,0,0,0,1,0,0,2518.2693004608154,914.3333333333334,clean
