phase,windows,decisions,status,access_rx_packets,core_tx_packets,app_qer_meter_red_packets,mean_offered_mbps,mean_delivered_mbps,mean_policing_ratio,pdr_fail,far_fail,bad_route,n3_rx_drops,n6_tx_drops,action_count,fallback_count,tool_failure_count,mean_decision_latency_ms,mean_total_tokens,notes
A,6,6,OK,22857091,22857090,0,627.8080834666666,518.09404,0.0,0,0,0,0,0,0,0,0,2457.041303316752,904.1666666666666,clean
B,6,6,OK,34285645,23126560,9476266,941.7123666666668,524.2020266666666,0.27639165826956613,0,0,0,0,0,3,0,0,3117.024540901184,1013.5,clean
C,6,6,OK,39999920,25454504,11294651,1098.6644373333334,576.9687573333333,0.2823668538520504,0,0,0,0,0,1,0,0,3387.6192967096963,1041,clean
D,6,6,OK,22857090,22857090,0,627.808072,518.09404,0.0,0,0,0,0,0,0,0,0,2820.0701077779136,964.1666666666666,clean
