phase,windows,decisions,status,access_rx_packets,core_tx_packets,app_qer_meter_red_packets,mean_offered_mbps,mean_delivered_mbps,mean_policing_ratio,pdr_fail,far_fail,bad_route,n3_rx_drops,n6_tx_drops,action_count,fallback_count,tool_failure_count,mean_decision_latency_ms,mean_total_tokens,notes
A,6,6,OK,22857073,22857072,0,627.8075890666667,518.093632,0.0,0,0,0,0,0,0,0,0,3742.5177892049155,798.6666666666666,clean
B,6,6,WARN,34285629,23047733,9475363,941.7119272,522.4152813333333,0.276365449685745,0,0,0,0,0,3,3,0,4304.406603177388,880.3333333333334,fallback used
C,6,6,WARN,39999918,24793480,11292998,1098.6644144000002,561.9855466666667,0.28232552876733397,0,0,0,0,0,2,4,0,4653.0652443567915,887.5,fallback used
D,6,6,OK,22857074,22857072,0,627.8076005333334,518.093632,0.0,0,0,0,0,0,1,0,0,4048.363526662191,817.1666666666666,clean
