phase,runs,delivered_mbps_mean,delivered_mbps_std,app_qer_red_mean,app_qer_red_std,actions_mean,fallbacks_mean,llm_latency_ms_mean,llm_latency_ms_std,pdr_fail_total,far_fail_total,bad_route_total
A,10,518.0910412,0.007354797206945708,0.0,0.0,0.0,0.0,3816.2516355514526,113.29655684002132,0,0,0
B,10,531.4660858666666,0.03174243791083601,9478085.6,1192.664728897252,6.0,0.0,4453.273443380992,38.392399109453464,0,0,0
C,10,585.6884358666666,0.0744184750709327,11294803.4,3244.6233542756718,6.0,0.0,4611.002131303151,44.76354809639828,0,0,0
D,10,518.0936229333333,0.00022696868767175323,0.0,0.0,0.4,5.0,3958.302692572276,46.545176540535586,0,0,0
