phase,windows,decisions,status,access_rx_packets,core_tx_packets,app_qer_meter_red_packets,mean_offered_mbps,mean_delivered_mbps,mean_policing_ratio,pdr_fail,far_fail,bad_route,n3_rx_drops,n6_tx_drops,action_count,fallback_count,tool_failure_count,mean_decision_latency_ms,mean_total_tokens,notes
A,6,6,OK,22857090,22857090,0,627.808072,518.09404,0.0,0,0,0,0,0,0,0,0,2459.5333337783813,906,clean
B,6,6,OK,34285628,23609274,9477480,941.7119157333333,535.143544,0.2764271956798351,0,0,0,0,0,1,0,0,3314.9280548095703,1071.1666666666667,clean
C,6,6,WARN,39999869,25531789,11292831,1098.6630365333333,578.7205506666667,0.28232171337400946,0,0,0,51,0,1,0,0,3010.942737261454,1032.6666666666667,tiny NIC drops 0.000001
D,6,6,OK,22857066,22857066,0,627.8074128,518.093496,0.0,0,0,0,0,0,1,0,0,2633.3799759546914,913.6666666666666,clean
