phase,windows,decisions,status,access_rx_packets,core_tx_packets,app_qer_meter_red_packets,mean_offered_mbps,mean_delivered_mbps,mean_policing_ratio,pdr_fail,far_fail,bad_route,n3_rx_drops,n6_tx_drops,action_count,fallback_count,tool_failure_count,mean_decision_latency_ms,mean_total_tokens,notes
A,6,6,OK,22857072,22857072,0,627.8075776000001,518.093632,0.0,0,0,0,0,0,0,0,0,2488.218307495117,914,clean
B,6,6,OK,34285632,23609054,9478207,941.7120256000001,535.1385573333333,0.276448367642749,0,0,0,0,0,1,0,0,3012.925386428833,1072.6666666666667,clean
C,6,6,OK,39999913,25531921,11292853,1098.6642610666668,578.7235426666666,0.28232194610828143,0,0,0,0,0,1,0,0,2997.4061648050942,1031.1666666666667,clean
D,6,6,OK,22857073,22857072,0,627.8075890666667,518.093632,0.0,0,0,0,0,0,1,0,0,2570.7746744155884,918.5,clean
