phase,windows,decisions,status,access_rx_packets,core_tx_packets,app_qer_meter_red_packets,mean_offered_mbps,mean_delivered_mbps,mean_policing_ratio,pdr_fail,far_fail,bad_route,n3_rx_drops,n6_tx_drops,action_count,fallback_count,tool_failure_count,mean_decision_latency_ms,mean_total_tokens,notes
A,6,6,OK,22857066,22857066,0,627.8074128,518.093496,0.0,0,0,0,0,0,0,0,0,2433.0917596817017,908,clean
B,6,6,OK,34285620,23287488,9476056,941.711696,527.849728,0.2763857267274152,0,0,0,0,0,2,0,0,3199.9447345733643,1036.1666666666667,clean
C,6,6,WARN,39999764,25529060,11295671,1098.6601685333335,578.6586933333333,0.2823934477932683,0,0,0,155,0,1,0,0,2907.7051877975464,1033.3333333333333,tiny NIC drops 0.000002
D,6,6,OK,22857066,22857066,0,627.8074128,518.093496,0.0,0,0,0,0,0,1,0,0,2528.786540031433,913.6666666666666,clean
