phase,windows,decisions,status,access_rx_packets,core_tx_packets,app_qer_meter_red_packets,mean_offered_mbps,mean_delivered_mbps,mean_policing_ratio,pdr_fail,far_fail,bad_route,n3_rx_drops,n6_tx_drops,action_count,fallback_count,tool_failure_count,mean_decision_latency_ms,mean_total_tokens,notes
A,6,6,OK,22857067,22857066,0,627.8074242666667,518.093496,0.0,0,0,0,0,0,0,0,0,2466.739455858866,909,clean
B,6,6,OK,34285621,23610564,9476577,941.7117074666667,535.172784,0.2764009226025372,0,0,0,0,0,1,0,0,3328.638950983683,1073,clean
C,6,6,OK,39999918,25531937,11292973,1098.6644144000002,578.7239053333333,0.28232490376605274,0,0,0,0,0,1,0,0,2806.491732597351,1031.1666666666667,clean
D,6,6,OK,22857067,22857066,0,627.8074242666667,518.093496,0.0,0,0,0,0,0,1,0,0,2549.365202585856,914.5,clean
