phase,windows,decisions,status,access_rx_packets,core_tx_packets,app_qer_meter_red_packets,mean_offered_mbps,mean_delivered_mbps,mean_policing_ratio,pdr_fail,far_fail,bad_route,n3_rx_drops,n6_tx_drops,action_count,fallback_count,tool_failure_count,mean_decision_latency_ms,mean_total_tokens,notes
A,6,6,OK,22857067,22857066,0,627.8074242666667,518.093496,0.0,0,0,0,0,0,0,0,0,2448.752999305725,909,clean
B,6,6,OK,34285620,23366376,9478835,941.711696,529.637856,0.2764667811169814,0,0,0,0,0,2,0,0,3097.1773068110147,1042.5,clean
C,6,6,OK,39999919,25528904,11295835,1098.6644258666668,578.6551573333334,0.28239645391273055,0,0,0,0,0,1,0,0,2825.709660847982,1030.8333333333333,clean
D,6,6,OK,22857067,22857066,0,627.8074242666667,518.093496,0.0,0,0,0,0,0,1,0,0,2571.476459503174,914.8333333333334,clean
