experiment,controller_group,model,gpu,prefix_cache,run,phase,health_status,duration_s,windows,offered_mbps,delivered_mbps,access_rx_packets,core_tx_packets,app_qer_red_packets,policing_ratio,pdr_fail,far_fail,bad_route,n3_rx_drops,n6_tx_drops,action_count,fallback_count,tool_failure_count,oscillation_count,mean_llm_latency_ms,mean_total_tokens,notes,source_campaign
e1_static,baseline,,,,run_07,A,OK,84.0,,627.8073304,518.093428,22857063.0,22857063.0,0,0.0,0,0,0,0,0,,,,,,,clean,/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e1_static,baseline,,,,run_07,B,OK,84.0,,941.7117898666667,562.157428,34285624.0,24801063.0,9484559,0.2766337073705792,0,0,0,0,0,,,,,,,clean,/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e1_static,baseline,,,,run_07,C,WARN,84.0,,1098.6515874666668,650.203896,39999451.0,28685466.0,11313983,0.2828534571636996,0,0,0,452,0,,,,,,,"tiny NIC drops n3_rx=452, n6_tx=0, rate=0.000007",/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e1_static,baseline,,,,run_07,D,OK,84.0,,627.8073418666667,518.093428,22857064.0,22857063.0,0,0.0,0,0,0,0,0,,,,,,,clean,/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e1_static,baseline,,,,run_08,A,OK,84.0,,627.8073304,518.093428,22857063.0,22857063.0,0,0.0,0,0,0,0,0,,,,,,,clean,/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e1_static,baseline,,,,run_08,B,OK,84.0,,941.7117898666667,562.1471826666666,34285624.0,24800611.0,9485011,0.2766468907390133,0,0,0,0,0,,,,,,,clean,/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e1_static,baseline,,,,run_08,C,WARN,84.0,,1098.6144525333334,650.2016293333334,39998099.0,28685366.0,11312731,0.28283171657733036,0,0,0,1804,0,,,,,,,"tiny NIC drops n3_rx=1804, n6_tx=0, rate=0.000026",/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e1_static,baseline,,,,run_08,D,OK,84.0,,627.8073418666667,518.093428,22857064.0,22857063.0,0,0.0,0,0,0,0,0,,,,,,,clean,/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e1_static,baseline,,,,run_09,A,OK,86.0,,627.8073418666667,518.093428,22857064.0,22857063.0,0,0.0,0,0,0,0,0,,,,,,,clean,/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e1_static,baseline,,,,run_09,B,OK,85.0,,941.7117784,562.1278933333334,34285623.0,24799760.0,9485862,0.27667171163843224,0,0,0,0,0,,,,,,,clean,/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e1_static,baseline,,,,run_09,C,OK,85.0,,1098.6640024,650.188936,39999903.0,28684806.0,11315095,0.28287806097929785,0,0,0,0,0,,,,,,,clean,/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
