phase,windows,decisions,status,access_rx_packets,core_tx_packets,app_qer_meter_red_packets,mean_offered_mbps,mean_delivered_mbps,mean_policing_ratio,pdr_fail,far_fail,bad_route,n3_rx_drops,n6_tx_drops,action_count,fallback_count,tool_failure_count,mean_decision_latency_ms,mean_total_tokens,notes
A,6,6,OK,22857091,22857090,0,627.8080834666666,518.09404,0.0,0,0,0,0,0,0,0,0,2463.933308919271,907.1666666666666,clean
B,6,6,WARN,34285608,23768037,9478207,941.7113504,538.742172,0.27644856909989174,0,0,0,37,0,2,0,0,3088.9842907587686,1068,tiny NIC drops 0.000001
C,6,6,WARN,39999724,25533005,11291495,1098.6590698666669,578.7481133333333,0.2822893303735736,0,0,0,195,0,1,0,0,2863.501946131388,1033,tiny NIC drops 0.000003
D,6,6,OK,22857091,22857090,0,627.8080834666666,518.09404,0.0,0,0,0,0,0,1,0,0,2576.9631465276084,912.3333333333334,clean
