phase,windows,decisions,status,access_rx_packets,core_tx_packets,app_qer_meter_red_packets,mean_offered_mbps,mean_delivered_mbps,mean_policing_ratio,pdr_fail,far_fail,bad_route,n3_rx_drops,n6_tx_drops,action_count,fallback_count,tool_failure_count,mean_decision_latency_ms,mean_total_tokens,notes
A,6,6,OK,22857067,22857066,0,627.8074242666667,518.093496,0.0,0,0,0,0,0,0,0,0,2465.4362201690674,909,clean
B,6,6,OK,34285621,23608681,9478568,941.7117074666667,535.1301026666666,0.2764589935955657,0,0,0,0,0,1,0,0,3219.6845213572183,1069.5,clean
C,6,6,OK,39999920,25529970,11294830,1098.6644373333334,578.67932,0.2823713288612242,0,0,0,0,0,1,0,0,2767.2117551167808,1029.6666666666667,clean
D,6,6,OK,22857066,22857066,0,627.8074128,518.093496,0.0,0,0,0,0,0,1,0,0,2554.8479159673057,913.5,clean
