phase,windows,decisions,status,access_rx_packets,core_tx_packets,app_qer_meter_red_packets,mean_offered_mbps,mean_delivered_mbps,mean_policing_ratio,pdr_fail,far_fail,bad_route,n3_rx_drops,n6_tx_drops,action_count,fallback_count,tool_failure_count,mean_decision_latency_ms,mean_total_tokens,notes
A,6,6,WARN,22856819,22856818,0,627.8006125333333,518.0878746666666,0.0,0,0,0,260,0,0,0,0,2504.3126344680786,885.6666666666666,tiny NIC drops 0.000006
B,6,6,WARN,34285577,23048283,9474734,941.7105149333333,522.427748,0.2763475148731951,0,0,0,61,0,3,0,0,3027.6679595311484,983.3333333333334,tiny NIC drops 0.000001
C,6,6,OK,39999919,25452405,11296811,1098.6644258666668,576.92118,0.28242085396275063,0,0,0,0,0,1,0,0,3940.7842556635537,1026,clean
D,6,6,OK,22857079,22857078,0,627.8077538666666,518.093768,0.0,0,0,0,0,0,0,0,0,2514.837861061096,941,clean
