timestamp_utc,phase,window_index,old_mbr_kbps,new_mbr_kbps,reason,tool_returncode
2026-05-12T18:03:27.058571Z,B,1,"200000,200000,150000,150000,100000","200000,200000,150000,150000,70000","app QER meter red delta is positive, reducing S5 only",0
2026-05-12T18:04:11.886435Z,B,2,"200000,200000,150000,150000,70000","200000,200000,150000,150000,60000","app QER meter red delta is positive, reducing S5 only",0
2026-05-12T18:04:57.204516Z,B,3,"200000,200000,150000,150000,60000","200000,200000,150000,150000,50000","app QER meter red delta is positive, reducing S5 only",0
2026-05-12T18:07:57.172250Z,C,1,"200000,200000,150000,150000,50000","200000,200000,110000,110000,100000",preserve S1 and S2 Gold while reducing S3 and S4 Silver,0
