experiment,run,phase,elapsed_between_snapshots_s,access_rx_packets_delta,core_tx_packets_delta,access_rx_bytes_delta,core_tx_bytes_delta,estimated_access_rx_mbps_expected_window,estimated_core_tx_mbps_expected_window,estimated_access_rx_mbps_elapsed_window,estimated_core_tx_mbps_elapsed_window,pdr_to_gtpu_delta,pdr_fail_delta,gtpu_decap_delta,app_qer_pass_delta,app_qer_meter_red_delta,app_qer_fail_delta,session_qer_meter_red_delta,far_forward_delta,far_fail_delta,route_forward_delta,bad_route_delta,n3_rx_packets_delta,n6_tx_packets_delta,n3_rx_dropped_delta,n6_tx_dropped_delta,pfcp_sessions_before,pfcp_sessions_after,trex_has_error,trex_has_job_done,health_status,notes
e1_static,run_06,A,84.0,22857062.0,22857062.0,4708554772.0,3885700540.0,627.8073029333333,518.0934053333333,448.43378780952384,370.0667180952381,22857062,0,22857062,22857062,0,0,0,22857062,0,22857062,0,22857062,22857062,0,0,5.0,5.0,False,False,OK,clean
e1_static,run_06,B,84.0,34285623.0,24799964.0,7062838218.0,4215993880.0,941.7117624,562.1325173333333,672.6512588571428,401.5232266666667,34285622,0,34285622,24799965,9485657,0,1,24799964,0,24799964,0,34285623,24799964,0,0,5.0,5.0,False,False,OK,clean
e1_static,run_06,C,84.0,39999551.0,28686735.0,8239907506.0,4876744950.0,1098.6543341333334,650.23266,784.7530958095239,464.4519,39999551,0,39999551,28686737,11312814,0,2,28686735,0,28686735,0,39999551,28686735,352,0,5.0,5.0,False,False,WARN,"tiny NIC drops n3_rx=352, n6_tx=0, rate=0.000005"
e1_static,run_06,D,83.0,22857064.0,22857063.0,4708555064.0,3885700710.0,627.8073418666667,518.093428,453.83663267469876,374.5253696385542,22857063,0,22857063,22857063,0,0,0,22857063,0,22857063,0,22857064,22857063,0,0,5.0,5.0,False,False,OK,clean
e1_static,run_07,A,84.0,22857063.0,22857063.0,4708554978.0,3885700710.0,627.8073304,518.093428,448.4338074285714,370.0667342857143,22857063,0,22857063,22857063,0,0,0,22857063,0,22857063,0,22857063,22857063,0,0,5.0,5.0,False,False,OK,clean
e1_static,run_07,B,84.0,34285624.0,24801063.0,7062838424.0,4216180710.0,941.7117898666667,562.157428,672.6512784761904,401.54102,34285623,0,34285623,24801064,9484559,0,1,24801063,0,24801063,0,34285624,24801063,0,0,5.0,5.0,False,False,OK,clean
e1_static,run_07,C,84.0,39999451.0,28685466.0,8239886906.0,4876529220.0,1098.6515874666668,650.203896,784.7511339047619,464.4313542857143,39999451,0,39999451,28685468,11313983,0,2,28685466,0,28685466,0,39999451,28685466,452,0,5.0,5.0,False,False,WARN,"tiny NIC drops n3_rx=452, n6_tx=0, rate=0.000007"
e1_static,run_07,D,84.0,22857064.0,22857063.0,4708555064.0,3885700710.0,627.8073418666667,518.093428,448.43381561904766,370.0667342857143,22857063,0,22857063,22857063,0,0,0,22857063,0,22857063,0,22857064,22857063,0,0,5.0,5.0,False,False,OK,clean
e1_static,run_08,A,84.0,22857063.0,22857063.0,4708554978.0,3885700710.0,627.8073304,518.093428,448.4338074285714,370.0667342857143,22857063,0,22857063,22857063,0,0,0,22857063,0,22857063,0,22857063,22857063,0,0,5.0,5.0,False,False,OK,clean
e1_static,run_08,B,84.0,34285624.0,24800611.0,7062838424.0,4216103870.0,941.7117898666667,562.1471826666666,672.6512784761904,401.5337019047619,34285623,0,34285623,24800612,9485011,0,1,24800611,0,24800611,0,34285624,24800611,0,0,5.0,5.0,False,False,OK,clean
e1_static,run_08,C,84.0,39998099.0,28685366.0,8239608394.0,4876512220.0,1098.6144525333334,650.2016293333334,784.7246089523809,464.42973523809525,39998099,0,39998099,28685368,11312731,0,2,28685366,0,28685366,0,39998099,28685366,1804,0,5.0,5.0,False,False,WARN,"tiny NIC drops n3_rx=1804, n6_tx=0, rate=0.000026"
e1_static,run_08,D,84.0,22857064.0,22857063.0,4708555064.0,3885700710.0,627.8073418666667,518.093428,448.43381561904766,370.0667342857143,22857063,0,22857063,22857063,0,0,0,22857063,0,22857063,0,22857064,22857063,0,0,5.0,5.0,False,False,OK,clean
e1_static,run_09,A,86.0,22857064.0,22857063.0,4708555064.0,3885700710.0,627.8073418666667,518.093428,438.0051222325581,361.46053116279074,22857063,0,22857063,22857063,0,0,0,22857063,0,22857063,0,22857064,22857063,0,0,5.0,5.0,False,False,OK,clean
e1_static,run_09,B,85.0,34285623.0,24799760.0,7062838338.0,4215959200.0,941.7117784,562.1278933333334,664.7377259294118,396.79616,34285623,0,34285623,24799761,9485862,0,1,24799760,0,24799760,0,34285623,24799760,0,0,5.0,5.0,False,False,OK,clean
e1_static,run_09,C,85.0,39999903.0,28684806.0,8239980018.0,4876417020.0,1098.6640024,650.188936,775.5275311058824,458.956896,39999903,0,39999903,28684808,11315095,0,2,28684806,0,28684806,0,39999904,28684806,0,0,5.0,5.0,False,False,OK,clean
e1_static,run_09,D,86.0,22857064.0,22857063.0,4708555064.0,3885700710.0,627.8073418666667,518.093428,438.0051222325581,361.46053116279074,22857063,0,22857063,22857063,0,0,0,22857063,0,22857063,0,22857063,22857063,0,0,5.0,5.0,False,False,OK,clean
e1_static,run_10,A,85.0,22857064.0,22857063.0,4708555064.0,3885700710.0,627.8073418666667,518.093428,443.1581236705883,365.713008,22857063,0,22857063,22857063,0,0,0,22857063,0,22857063,0,22857064,22857063,0,0,5.0,5.0,False,False,OK,clean
e1_static,run_10,B,84.0,34285499.0,24799787.0,7062812794.0,4215963790.0,941.7083725333333,562.1285053333334,672.6488375238096,401.52036095238094,34285499,0,34285499,24799788,9485711,0,1,24799787,0,24799787,0,34285499,24799787,124,0,5.0,5.0,False,False,WARN,"tiny NIC drops n3_rx=124, n6_tx=0, rate=0.000002"
e1_static,run_10,C,84.0,39999896.0,28685778.0,8239978456.0,4876582260.0,1098.6637941333333,650.210968,784.7598529523809,464.43640571428574,39999895,0,39999895,28685780,11314115,0,2,28685778,0,28685778,0,39999896,28685778,8,0,5.0,5.0,False,False,WARN,"tiny NIC drops n3_rx=8, n6_tx=0, rate=0.000000"
e1_static,run_10,D,84.0,22857063.0,22857063.0,4708554978.0,3885700710.0,627.8073304,518.093428,448.4338074285714,370.0667342857143,22857063,0,22857063,22857063,0,0,0,22857063,0,22857063,0,22857063,22857063,0,0,5.0,5.0,False,False,OK,clean
e2_threshold,run_01,A,84.0,22857064.0,22857063.0,4708555064.0,3885700710.0,627.8073418666667,518.093428,448.43381561904766,370.0667342857143,22857063,0,22857063,22857063,0,0,0,22857063,0,22857063,0,22857064,22857063,0,0,5.0,5.0,False,False,OK,clean
e2_threshold,run_01,B,84.0,34285623.0,22399916.0,7062838338.0,3807985720.0,941.7117784,507.7314293333333,672.6512702857143,362.6653066666667,34285623,0,34285623,24799835,9485788,0,2399919,22399916,0,22399916,0,34285623,22399916,0,0,5.0,5.0,False,False,OK,clean
e2_threshold,run_01,C,84.0,39999904.0,25348193.0,8239980104.0,4309192810.0,1098.6640138666667,574.5590413333334,784.7600099047619,410.3993152380952,39999903,0,39999903,28685279,11314624,0,3337086,25348193,0,25348193,0,39999904,25348193,0,0,5.0,5.0,False,False,OK,clean
e2_threshold,run_01,D,84.0,22857065.0,22857065.0,4708555390.0,3885701050.0,627.8073853333334,518.0934733333333,448.4338466666667,370.0667666666667,22857065,0,22857065,22857065,0,0,0,22857065,0,22857065,0,22857065,22857065,0,0,5.0,5.0,False,False,OK,clean
e2_threshold,run_02,A,84.0,22857065.0,22857065.0,4708555390.0,3885701050.0,627.8073853333334,518.0934733333333,448.4338466666667,370.0667666666667,22857065,0,22857065,22857065,0,0,0,22857065,0,22857065,0,22857065,22857065,0,0,5.0,5.0,False,False,OK,clean
e2_threshold,run_02,B,85.0,34285625.0,22400470.0,7062838630.0,3808079900.0,941.7118173333333,507.7439866666667,664.7377534117647,358.40752,34285624,0,34285624,24800890,9484734,0,2400420,22400470,0,22400470,0,34285625,22400470,0,0,5.0,5.0,False,False,OK,clean
e2_threshold,run_02,C,84.0,39999903.0,25349820.0,8239980018.0,4309469400.0,1098.6640024,574.59592,784.7600017142857,410.4256571428571,39999903,0,39999903,28686778,11313125,0,3336958,25349820,0,25349820,0,39999903,25349820,0,0,5.0,5.0,False,False,OK,clean
e2_threshold,run_02,D,84.0,22857065.0,22857065.0,4708555390.0,3885701050.0,627.8073853333334,518.0934733333333,448.4338466666667,370.0667666666667,22857065,0,22857065,22857065,0,0,0,22857065,0,22857065,0,22857066,22857065,0,0,5.0,5.0,False,False,OK,clean
e2_threshold,run_03,A,84.0,22857065.0,22857065.0,4708555390.0,3885701050.0,627.8073853333334,518.0934733333333,448.4338466666667,370.0667666666667,22857065,0,22857065,22857065,0,0,0,22857065,0,22857065,0,22857065,22857065,0,0,5.0,5.0,False,False,OK,clean
